,latitude,longitude
TerraMater,33.775785,-84.293741
Isole e Olena,42.134279,-72.624506
Kenwood,39.2022336,-84.3771404
Manzoni,37.7347794,-122.4340045
McIntyre Vineyards,36.537164,-121.908697
Abbadia Ardenga,43.087302,11.544132
Alamos,27.0254869,-108.941309
Anaba,35.864261,-84.06413900000001
Harrington,38.9237244,-75.5777033
Abbazia Santa Anastasia,37.9725005,14.0849655
Viña Bisquertt,-33.3926384,-70.6169766
Emiliana,32.0892221,-116.6405738
Fattoria Alois,41.1940441,14.234435
Aldegheri,45.5153297,10.8347666
Bertrand Ambroise,46.0742431,-73.5584433
Campomaggio,43.505921,11.331417
Carpineto,42.357295,9.379332
Cesani,43.505729,11.002696
Sequum,38.4985372,-122.4562633
Sierra Starr,39.2192127,-121.0628905
Tenuta di Sesta,42.993231,11.488118
Terlan,46.5384622,11.2421084
Yatir,31.347454,35.035536
Adega Cooperativa de Borba,38.8064499,-7.463152699999999
J. Lohr,37.3338454,-121.9128062
Courtney Benham,38.4687308,-122.8507472
Del Carlo Winery,38.6737658,-122.9366162
Delaire Graff,-33.921626,18.923115
Domaine St Pierre,46.2210348,-72.9233728
Eikendal,-34.0130818,18.8233403
Famille Perrin,46.7131578,-71.6424844
Matarromera,40.82590200000001,-73.500965
MCV,37.5430751,-77.4293114
Mounts,26.685474,-80.11310999999999
Or Haganuz,33.005183,35.446736
Quinta de Foz de Arouce,40.1572262,-8.2764317
Robert Mondavi,38.4412684,-122.4098023
Sixteen by Twenty,41.9625914,-70.6693879
St. Pauls,37.06250000000001,-95.677068
Talenti,32.827987,-96.88325900000001
Mendel,41.920648,-88.334381
Oldenburg,53.1434501,8.214552099999999
Wagner,37.09024,-95.712891
Treleaven,42.65034199999999,-76.634433
Benessere,40.7259483,-74.3732607
Bloomer Creek,42.4896559,-76.86999759999999
Angove's,41.9747799,-79.12871679999999
Silvan Ridge,43.9569919,-123.2644798
Talamonti,42.0655312,-87.6845408
Meeker,40.03747329999999,-107.9131299
Consorzio Vini Tipici di San Marino,43.9408337,12.4578785
D'Arenberg,-35.19721639999999,138.5511368
Dogwood,30.2699485,-97.7503491
Domaine du Tariquet,43.8533307,0.1686208
Falcor,38.2560001,-122.276268
Hayman & Hill,-20.0499552,148.8888003
Hermann J. Wiemer,42.5720217,-76.92809849999999
J. & F. Lurton,37.09024,-95.712891
Finca Las Moras,31.7215363,-106.4541641
Long Flat,-31.433333,152.483333
Work,37.0359694,-95.6209911
Amity,41.3304642,-72.9726305
Autumn Hill,34.133845,-84.380558
Blue Rock,43.611578,-116.211944
Cherry Hill,39.926813,-75.0246312
Cloud 9,37.708127,-97.349081
Cueva de las Manos,-47.15222139999999,-70.66270349999999
David Fulton,38.51046729999999,-122.4701787
Graham Beck,37.2330523,-80.4311171
Hartenberg,-33.89833,18.79154
Willamette Valley Vineyards,44.8279071,-123.012622
Algodon,33.4828428,-112.2558235
Beaver Creek,39.604225,-106.516515
Byron,37.0533656,-94.5263755
Jardin,36.1284406,-115.1646533
Lungarotti,43.0298131,12.4289425
Marchesi Fumanelli,45.5156645,10.901969
Mariell,40.8885583,-74.72424219999999
Livio Felluga,45.972501,13.457068
My Big Fat Greek Wine,26.062936,-80.19067799999999
Nals Margreid,46.5388341,11.2039337
O. Fournier,-33.803535,-69.1184171
Pico Maccario,37.6675865,-77.57112099999999
Sottano,-33.0950929,-68.9244311
St. Francis,36.0718917,-95.919759
Trailhead,37.2815865,-95.7997013
Franz Haas,37.4932499,-77.34024939999999
Forstreiter,48.3791445,15.691594
Cambria,35.5641381,-121.0807468
I Giusti e Zanza,43.5821411,10.5195897
J. Christopher,37.09024,-95.712891
Viña Cobos,38.4401811,-122.8581307
Salomon-Undhof,48.406389,15.589238
Talley,32.9418689,-96.906256
Acústic,32.5347546,-117.0426321
Josef Schmid,29.5527916,-95.09309979999999
Parallel,39.1286727,-94.69055259999999
Château Lafon-Rochet,45.2293874,-0.7877968999999999
Domaine Daniel Dugois,46.9491599,5.7903464
Treana,35.5879453,-120.7213555
Ventisquero,7.8062682,-72.2935524
Aquinas,42.96032779999999,-85.6285917
Arboleda,30.521902,-97.81886899999999
Attilio Ghisolfi,44.5980966,7.966176600000001
Cantina del Nebbiolo,44.7602031,8.0091154
Cascina Adelaide,44.612727,7.945821
Cascina La Ghersa,44.762305,8.279966
Claudia Springs,39.131897,-123.5326015
Cramele Recas,45.7991938,21.5057816
Domaine Bertagna,47.17600729999999,4.963523599999999
Domaine Sigalas,36.471427,25.394178
Socré,40.753646,-73.985922
Boffa,10.1808254,-14.0391615
Mount Veeder,38.3793566,-122.4477575
Rabino,40.79031699999999,-73.9537622
Bellussi,45.8792562,12.0035694
Château Tour de Mirambeau,45.3751366,-0.5658265
Paladin,49.25692400000001,-122.9947599
L'Antica Quercia,45.94487300000001,12.297694
Lucas Vineyards,42.62787,-76.71015400000002
Marsuret,45.906068,12.063322
De Martino,41.4353682,-72.8329759
Beringer,38.510162,-122.479888
Brutocao,38.97166,-123.079154
Clos La Chance,37.0728894,-121.6432703
Sommariva,44.770061,7.783384900000001
Spagnol,40.4256355,-79.68949649999999
Jacquart,46.4615187,-90.1439877
Koyle,47.6625807,-122.2823818
Château Notre Dame du Quatourze,43.15952,2.999774
Mémoires,45.5424476,-73.6066992
Cavas Hill,38.8818875,-76.9952431
Antoine Moltès & Fils,47.983338,7.289172000000001
Pezzi King,38.6060807,-122.8622981
Bellisco,40.4029249,-3.7536039
Viña Tarapacá,-20.2028799,-69.2877535
Chambers Rosewood Vineyards,-36.044718,146.45081
Robert Weil,41.7525543,-88.2105472
Torbreck,-34.476955,138.950515
Cavallotto,44.628496,7.977163
Oremus,32.402663,-111.181347
Rochioli,38.5335045,-122.8672302
Louis Latour,38.0173823,-122.5393571
Jasper Hill,44.5867387,-72.2694154
Château de la Tour,49.1939223,2.4253064
Weingut Hans Bausch,50.0211608,8.0511982
Philippe Colin,46.92774199999999,4.740168199999999
Bel Colle,44.65851,7.926939999999999
J. Davies,38.4983541,-122.4622424
Winderlea,45.2790608,-123.0431149
Wakefield,42.5039395,-71.0723391
Cantina Terlano,46.5306691,11.2519441
Montresor,47.155031,1.199237
Ronco del Gelso,45.9475299,13.4759599
Sebastiani,38.293227,-122.449288
Elena Walch,46.3385258,11.2385953
Gini,39.31360310000001,-94.684198
Borgo Conventi,45.9158543,13.5265166
Ceago Vinegarden,39.1074157,-122.8170268
Valiano,43.1479125,11.9021177
Volpe Pasini,46.11290690000001,13.3975465
Zenato,43.1278668,-80.74871569999999
L.A. Cetto,32.5242087,-117.0379349
La Vis,46.1408423,11.1124935
Lapostolle,45.4881492,-73.5800972
Carmen,37.09024,-95.712891
Tommasi,30.162265,-93.1805119
San Michele Eppan,46.4560767,11.2623877
Vinoce,38.2859369,-122.2863383
Merriam,39.0236165,-94.6935701
Kynsi,35.1898748,-120.5815339
Casa Julia,32.646556,-115.45046
Valdivieso,29.7281093,-95.4441963
Bridlewood,33.04986,-97.09075879999999
San Pedro,33.7360619,-118.2922461
Cline,37.042223,-95.6481876
Astoria,46.1878841,-123.8312534
Cantine Maschio,45.8478909,12.428617
Val d'Oca,32.6485067,-115.4241477
Vinavanti,32.7481994,-117.1494656
Vino V,39.2814089,-76.59094309999999
Viticoltori Ponte,45.7203172,12.4656872
Le Vigne di Alice,45.9519636,12.2888854
McGregor,31.4440557,-97.4091792
Miles,37.09024,-95.712891
Morro Bay,35.3659445,-120.8499924
Pizzolato,29.6082091,-90.74507059999999
Red Newt Cellars,42.5015803,-76.8667361
Ca'Tullio,45.75951939999999,13.3726745
Michlits,47.9472229,16.8468036
Château de Marsan,43.6556591,0.7212179000000001
Guardian,37.09024,-95.712891
Kerloo,47.5676354,-122.3354681
Kohl,36.29525150000001,-95.834677
Las Positas,37.711689,-121.7997617
Lieb,41.0361589,-72.5043341
Luberri,42.5185709,-2.6266005
Macari,40.986564,-72.568006
Milbrandt,46.2195744,-119.7781674
Ojai,34.4480495,-119.242889
ONX,36.09663949999999,-95.8835567
Pomum,47.761911,-122.149475
Prospect 772,38.038356,-120.624826
Revello Fratelli,44.637027,7.956299899999999
Gebeshuber,49.3073547,17.3953973
Tenuta La Marchesa,44.740072,8.791951000000001
Trione,38.6878142,-122.8804258
Vinos de Arganza,42.546078,-6.783644
Walla Walla Vintners,46.088215,-118.20394
Winzer Krems,48.420187,15.618455
Wölffer,40.945028,-72.27747
Dunbar,39.7562424,-104.9758933
Eschenhof Holzer,48.483551,15.8685451
Fattorie Romeo del Castello,37.886828,14.982753
Flying Cloud,44.8271762,-93.46107769999999
Gadais Père et Fils,47.144298,-1.422139
André Brunel,30.3689961,-97.7875389
Majolini,43.6581,-79.34965299999999
Montaudon,24.7834965,-107.3740424
Montemercurio,43.075517,11.77395
Patrick Javillier,46.9824363,4.7666049
Philippe Fontaine,45.353307,-73.474498
Pillitteri,43.2292472,-79.1139863
Roederer Estate,39.108426,-123.49712
Rusack,34.6376436,-120.1418336
Bellavista,36.481464,-94.2732642
Chanoine,46.7791299,-71.30179559999999
Chehalem,45.3278962,-122.88871
Henri de Villamont,47.0627857,4.822101
Vollereaux,49.0168021,3.9340045
Wittmann,33.7763856,-112.5282591
Valentina Cubi,45.5307444,10.891579
Deutz,33.9398709,-84.13609029999999
Domaine Serene,45.2712069,-123.070702
Dr. Loosen,45.3819974,-122.4448324
H. Blin,26.7045772,-80.1138433
Jeaunaux-Robin,48.8323609,3.746904799999999
Bell,37.0341181,-95.6426791
Château Vray Croix de Gay,44.94192289999999,-0.1720111
Dampierre,48.705142,1.984545
Santa Maria La Palma,40.6629048,8.270778199999999
Sparkman,34.8342964,-86.7160853
Babcock,37.2684773,-95.5511945
Cape View,28.3926714,-80.59945920000001
Ken Forrester,-34.0254206,18.8182251
Louis Bernard,45.5058167,-73.5669017
Vigneti Le Monde,45.8604891,12.554003
V&N; Cellars,37.09024,-95.712891
Zerba Cellars,45.9953281,-118.3884389
Insania,25.6868124,-100.2106801
Knapp,44.9552414,-92.0754594
Lava Cap,38.751203,-120.7397911
Loess,40.0828115,-95.25259299999999
Michael Pozzan,38.4365318,-122.4019587
Domaine du Grand Cros,43.3194098,6.1871183
El Coto,43.0797312,-6.236599099999999
Fenestra,39.0868408,-77.15085309999999
Hanna,35.2050977,-95.890275
Alain Jaume et Fils,44.1100193,4.820566299999999
Aleo,32.9154473,-96.95145079999999
Altùris,46.0775697,13.4433711
Camaraderie,42.7606553,-71.46543869999999
Boude Baudin,49.1104594,3.9103577
Conn Creek,38.4862203,-122.4048709
D.R. Stephens,36.0432652,-95.95340970000001
Davis Family,36.7911913,-95.9353524
Domaine Jeannin-Naltet,46.836294,4.730897
Qupé,35.1230661,-120.58027
Rex Hill,45.3143194,-122.9197436
Ruby,36.117263,-95.88929999999999
Structure,38.3955534,-95.2482546
Tumwater,47.0073187,-122.9093063
Joseph Jewell,38.473521,-122.89102
Le Vigne,35.6743813,-120.6591659
Maximin Grünhäuser,49.769319,6.71639
Northstar,37.0161996,-95.9281127
Padis,37.772123,-122.405294
Paul O'Brien,43.2091339,-123.3466363
Flying Goat Cellars,34.6426455,-120.4389362
Abbazia di Novacella,46.7423199,11.6487423
Midsummer Cellars,38.540157,-122.470219
Les Belles Collines,40.7526842,-73.9759022
Lutum,34.6423361,-120.4356912
Turiya,39.1506328,-77.9807591
Iron Horse,36.4173807,-95.73136869999999
Brandini,33.738943,-116.406298
Artesa,38.269161,-122.355377
Carlisle,40.2010241,-77.20027449999999
Château Vignelaure,43.612527,5.690595999999999
Clos d'Argentine,-33.6670189,-69.19424599999999
Mas de Cadenet,43.4766535,5.6614244
Passing Time,47.76393969999999,-122.1503138
Sanctuary,36.1184563,-95.8970454
Terre Rouge,38.5203975,-120.8238467
Limerick Lane,38.5882656,-122.8299633
Loring Wine Company,34.6144876,-120.1994083
Eighty Four,40.18260170000001,-80.13302639999999
Four Lanterns,35.5690204,-120.7403535
World's End,42.2584408,-70.8739882
Benegas,36.1396988,-86.8034874
W.H. Smith,40.7518494,-73.976451
Alleromb,46.0687717,-118.3359469
Ardor,35.3712146,-97.4766133
Berryessa Gap,38.5137584,-122.0032452
Brezza,33.772597,-84.36554129999999
Château de Campuget,43.8016176,4.5049684
Château de l'Aubrade,44.680904,0.011487
Château de Pressac,44.8835005,-0.09020299999999999
Chateau Lafayette Reneau,42.4794231,-76.87088229999999
Château Maison Noble Saint Martin,44.6668899,-0.0220877
Cupcake,36.0330086,-95.79130579999999
Raconteur,47.5557993,-122.2704629
Savage Grace,47.7691156,-122.1525333
Seven Falls,38.7820518,-104.8800078
Silvertip,40.96436600000001,-76.89126999999999
Steininger,44.844859,-93.146086
Stevens,37.09024,-95.712891
Strauss,37.3403361,-95.0858015
Trinity River,29.7430556,-94.70333330000001
Vintage Cowboy,35.3047457,-120.3743852
Kontos,40.933905,-74.1615684
Landhaus Mayer,41.96221120000001,-73.9910127
Lavau,48.324635,4.0867889
L'Ecole No. 41,46.0568335,-118.5813475
Midnight,36.0772404,-95.9576542
Michele Chiarlo,44.73138549999999,8.3218022
Monte Xanic,32.0946337,-116.5873954
Paoletti,35.0526005,-83.19643429999999
Peconic Bay Winery,41.018927,-72.47964999999999
Príncipe de Viana,42.03632,-1.6495888
Quady North,42.313854,-122.965986
Quinta do Portal,41.240301,-7.568666500000001
Raptor Ridge,45.3852286,-122.9492007
Rodney Strong,38.5732267,-122.8439819
Saintsbury,38.2501452,-122.3255536
Sextant,45.6004413,-122.6220069
Solar de Pinheiro,42.025102,-93.715341
Suavia,45.4527381,11.2549043
Tilia,44.9246358,-93.3141271
B Cellars,38.4501335,-122.3750212
Barlow,45.517692,-122.6814938
Borgo Maragliano,44.6720906,8.2557909
Bortolotti,41.649369,-70.422353
Coiled,43.6231289,-116.2391491
Colter's Creek,46.577831,-116.706401
Domenico Cavazza,45.465172,11.361644
Kangarilla Road,-35.2144442,138.5657294
Walt,28.338417,-81.58920599999999
WillaKenzie Estate,45.3591443,-123.1349562
Willm,48.4097672,7.448133299999999
Yeringberg,-37.6943215,145.4219552
Armida,38.5885292,-122.8805448
Marqués de Murrieta,42.4579426,-2.381978
Domaines Schlumberger,40.7534846,-73.9720523
Foxen,34.8201921,-120.2302395
Luis Duarte,31.4654262,-100.4345279
Melhill,-35.202164,149.149484
Niner,40.5686268,-105.0345206
Purple Hands,45.2736943,-123.0149232
Quinta da Lagoalva de Cima,39.2959162,-8.5622859
Quinta do Monte Xisto,37.6675865,-77.57112099999999
Stone The Crows,43.994221,-79.44910399999999
Sturm,39.6793255,-104.961337
Plantagenet,-34.5846897,117.6434844
Scratch,36.0904891,-95.92586
Sipp Mack,48.179593,7.307117
St. Amant,30.2246409,-90.86898599999999
Stoller,45.2412037,-123.0699635
Fable Mountain,-33.351976,19.213152
Vine Cliff,38.44710389999999,-122.3505469
Va Piano,40.734331,-73.992137
Y Rousseau,38.2587139,-122.2717063
Monte Volpe,39.257119,-123.2376142
Palladino,39.950012,-75.16768900000001
Paradise Ridge,38.4930065,-122.7236599
Pecchenino,44.545948,7.950522
Poet's Leap,46.0701256,-118.4902834
Rafael Cambra,38.781421,-0.782554
Raphael,39.039523,-94.59124399999999
Seven Hills,37.7952966,-122.4181232
Snoqualmie,47.5287132,-121.8253906
Stags' Leap Winery,38.4141825,-122.3213126
The Grapes of Roth,29.8990525,-81.3189941
Truchard,38.285684,-122.323161
Acacia,40.4282761,-79.9759045
Array,34.0783584,-107.6183633
Baracchi Riccardo,43.2906886,11.9712669
Barrister,47.6552583,-117.4303608
Bodegas Berceo,42.5758538,-2.8468071
Bunnell,29.4660863,-81.25784159999999
Castello di Neive,44.72521829999999,8.1145513
Castello di Querceto,43.5966201,11.3773989
Chateau Ste. Michelle,47.7298044,-122.1493133
Cobb,28.0002545,-81.9817668
Comm. G. B. Burlotto,44.666899,7.930846799999999
Cooper-Garrod,37.276392,-122.059714
Mosquito Fleet,47.4545081,-122.827595
Nittnaus Hans und Christine,47.8941909,16.915706
Nottingham Cellars,37.6765212,-121.7192675
Poggio Argentiera,42.67217,11.148368
Pride Mountain,38.5258111,-122.5629009
Reyneke,-33.9560893,18.7435925
Ruffino,30.3530435,-91.0218548
Saint Clair,42.8208653,-82.486024
Soellner,37.9161237,-89.8235478
Woodinville Wine Cellars,47.7567175,-122.1636001
Kanonkop,-33.8551851,18.8601279
El Enemigo,-33.0445174,-68.7241666
Château d'Esclans,43.529267,6.567991
Château Sainte Marguerite,43.1469371,6.2195695
Cloudy Bay,-41.45416710000001,174.0680269
Domaine de la Bastide Blanche,43.2225069,5.7537764
Domaine Sainte-Marie,47.18500710000001,-70.822339
Dry Creek Vineyard,38.65291,-122.924876
Dry River,34.035894,-118.223479
Dutton Estate,38.444829,-122.865102
Failla,38.5481305,-122.4904169
Friedeman,38.4041699,-122.8197214
Akarua,-45.0848238,169.1808178
Carrick,40.3954426,-79.9892034
JCB,32.1120753,-81.2338035
Casca Wines,41.5207743,-74.0268837
Cave de Viré,29.6870415,-98.352533
Cortes de Cima,38.161091,-7.72444
Domaine Bousquet,45.53279029999999,-72.8601865
Messias,-9.3945804,-35.8386213
Mont Sec,48.89068899999999,5.718999999999999
Paolo Manzone,44.6215152,7.992768
Quinta de Paços,41.4916881,-8.5768731
Rascal,34.0604192,-118.3449173
Jack's House,46.35523999999999,-94.16153399999999
Domaine Poulleau Père et Fils,46.99954289999999,4.7806515
Durigutti,-33.036355,-68.964604
El Esteco,-26.0635616,-65.9638677
Wines & Winemakers,37.09024,-95.712891
Lagarde,35.7873829,-78.5857111
Marchesi di Barolo,44.6113824,7.9405671
McPherson,38.3708415,-97.66420869999999
Patriarche Père et Fils,47.0263978,4.838364400000001
Paul Reitz,38.676724,-90.401861
Pech Merle,38.7060851,-122.9040008
Ribafreixo,38.2008293,-7.8023454
Jacob's Creek,29.883273,-98.221328
William Knuttel,38.2598449,-122.4367049
Casa Larga,43.051453,-77.432665
Cave de Beblenheim,48.15898070000001,7.3268589
De Loach,38.46255439999999,-122.8199974
Dopff Au Moulin,48.166199,7.304254999999999
Center of Effort,35.1882028,-120.5858945
Handley,39.17793580000001,-78.1760456
Kuleto Estate,38.4991546,-122.3253339
Lane Tanner,37.8368589,-122.267059
MacRostie,38.5544744,-122.8733386
Monte De Oro,33.54537610000001,-117.0461618
Ninquén,-34.5747222,-71.4086111
Oro de Castilla,25.8158273,-100.2756214
Pax,39.1157593,-94.5916293
Robert Foley,38.59765000000001,-122.451768
42°S,36.1290217,-97.0748599
Manyana,-35.25,150.516667
McWilliam's Hanwood Estate,-34.3495349,146.0445482
Paternoster,-32.811525,17.8954131
G. H. Mumm,38.47831530000001,-122.3937191
Monte da Penha,39.2973305,-7.449722199999999
Patton Valley,45.4447421,-123.1947514
Pierre Gimonnet et Fils,48.998794,3.9663972
Adelsheim,45.3385536,-123.0496957
Bruno Paillard,40.7983445,-73.9694662
Castello d'Albola,43.5211688,11.4106724
Ferrari,33.0169687,-96.8354406
Laetitia,35.092218,-120.5361527
Bella,37.09024,-95.712891
Quinta do Sagrado,41.1402778,-8.6147884
San Pedro de Yacochuya,-26.0417168,-66.02396879999999
St. Supéry,38.4552623,-122.4143177
Barnard Griffin,46.2547276,-119.2989596
Beacon Hill,42.3587999,-71.0707389
Bernard Magrez,44.852929,-0.589805
Brian Carter Cellars,47.731433,-122.141257
Buttonwood,37.6634542,-97.2307536
Château Corbin,44.921863,-0.17654
Château La Branne,44.8335081,-0.1878458
Château Mille-Roses,44.9973241,-0.6380653
Chessman,28.6521782,-81.2438736
Deerfield Ranch,38.40636629999999,-122.541946
Domaine Franck Besson,46.23057499999999,4.686995
Efeste,47.7714517,-122.1457261
Firesteed,44.9654306,-123.2240907
Iron Hub,38.5391413,-120.7911309
Kooyong,-37.841944,145.035
Moncaro,43.5251824,13.0976967
Aiken,33.5604168,-81.7195533
Castell,30.7010128,-98.9564372
Donkey & Goat,37.1286204,-94.6100771
Valdicava,38.2258921,-122.263705
Finn Hill,47.7141386,-122.2402528
Keuka Spring,42.6263804,-77.06741749999999
La Playa,32.7265846,-97.41643429999999
Les Vins Aujoux,46.1891385,4.7007692
Pata Negra,32.7999715,-117.2394275
Ridolfi,47.6099975,-122.334586
Still Waters,36.6378713,-93.3449275
Stomping Ground,38.8265895,-77.058515
Tenuta Poggio il Castellare,43.0089824,11.5203858
Tenuta San Giorgio,45.7725133,12.3353178
Terrapura,-34.4873568,-70.9071221
Clos Troteligotte,44.3940446,1.3415622
Columbia Winery,47.7342678,-122.1525488
Domaine de Thulon,46.15622949999999,4.632992199999999
Domaine du Haut-Poncié,46.2056933,4.703442000000001
Domaine du Vissoux,45.9177858,4.538281599999999
Dosio,30.1623896,-81.7002231
Georges Duboeuf,40.7983445,-73.9694662
Juvé y Camps,41.0391175,-73.78369099999999
Leaping Horse,39.3628052,-104.8622992
Manoir du Carra,39.11836460000001,-77.2017743
Maryhill,45.6870683,-120.8136737
Cottanera,37.886166,15.029575
CVA Canicattì,37.36365,13.7795704
Domaine Barmès-Buecher,48.06011059999999,7.2985468
Domaine Bott-Geyl,48.1563589,7.3286668
Domaine Collotte,47.2691816,4.987538799999999
Domaine Faiveley,40.7679629,-73.96360159999999
Domaine Jacques Prieur,46.9798605,4.774568599999999
Domaine Roland Schmitt,48.5757708,7.4577272
Dr. H. Thanisch (Erben Thanisch),49.9127215,7.0689598
Easton,40.688432,-75.2207323
Edna Valley Vineyard,35.2170004,-120.6075179
Fattoria La Rivolta,41.1724702,14.7107497
Fess Parker,34.742742,-120.11879
Gershon Bachus,33.5167492,-117.0157038
Graci,43.6512761,-79.3818447
Tornatore,28.587187,-81.3942379
West of Temperance,38.471452,-122.742399
Winzergenossenschaft Mayschoss-Altenahr,50.5186967,7.0202157
Baglio del Cristo di Campobello,37.22184660000001,13.9187327
Beresford,43.0805446,-96.77365499999999
Carabella,40.516077,-79.84269499999999
Casa Dumetz,34.7438804,-120.2797656
Greenwood Ridge,39.0978796,-123.4843354
Herencia,38.3098226,-122.2816814
